행정구역,22-1길단위유동인구,22-1주거인구,22-1직장인구,22-2길단위유동인구,22-2주거인구,22-2직장인구,22-3길단위유동인구,22-3주거인구,22-3직장인구,22-4길단위유동인구,22-4주거인구,22-4직장인구,23-1길단위유동인구,23-1주거인구,23-1직장인구
청운효자동,"14,929",51,44,"16,209",51,44,"14,843",51,44,"15,269",51,44,"14,633",54,44
사직동,"29,283",82,412,"34,630",82,412,"33,738",82,412,"34,815",82,412,"33,445",73,412
삼청동,"5,905",19,42,"6,885",19,42,"6,302",19,42,"6,649",19,42,"6,696",19,42
부암동,"5,778",45,19,"6,011",45,19,"5,468",45,19,"5,248",45,19,"4,970",44,19
평창동,987,22,28,986,22,28,975,22,28,"1,019",22,28,989,21,28
무악동,"41,029",188,13,"44,077",188,13,"43,842",188,13,"43,111",188,13,"43,167",187,13
교남동,"108,480",295,24,"105,744",295,24,"104,968",295,24,"105,693",295,24,"108,783",125,24
가회동,"22,215",77,207,"26,399",77,207,"24,521",77,207,"26,010",77,207,"23,280",77,207
종로1·2·3·4가동,"49,419",30,401,"57,818",30,401,"56,184",30,401,"58,460",30,401,"58,331",29,401
종로5·6가동,"102,873",87,260,"114,300",87,260,"108,680",87,260,"113,124",87,260,"112,068",89,260
이화동,"45,935",102,70,"50,138",102,70,"48,643",102,70,"50,693",102,70,"45,920",110,70
혜화동,"72,928",145,57,"79,989",145,57,"77,395",145,57,"81,656",145,57,"78,427",140,57
창신1동,"100,428",173,44,"105,053",173,44,"97,513",173,44,"102,570",173,44,"100,825",191,44
창신2동,"227,286",324,13,"232,334",324,13,"231,195",324,13,"230,002",324,13,"229,522",373,13
창신3동,"56,466",320,14,"57,314",320,14,"55,802",320,14,"55,016",320,14,"54,622",319,14
숭인1동,"93,374",257,19,"94,488",257,19,"91,831",257,19,"91,693",257,19,"91,622",245,19
숭인2동,"147,626",270,54,"153,315",270,54,"148,226",270,54,"150,366",270,54,"145,276",255,54
소공동,"25,404",23,844,"30,153",23,844,"29,848",23,844,"31,241",23,844,"30,393",15,844
회현동,"43,396",56,645,"51,009",56,645,"48,469",56,645,"51,412",56,645,"49,782",47,645
명동,"44,683",28,734,"53,680",28,734,"53,398",28,734,"56,415",28,734,"55,043",25,734
필동,"14,289",28,119,"16,415",28,119,"15,134",28,119,"15,802",28,119,"14,717",26,119
장충동,"20,714",46,103,"22,509",46,103,"22,073",46,103,"23,381",46,103,"22,370",49,103
광희동,"72,845",70,570,"80,779",70,570,"80,300",70,570,"83,179",70,570,"82,039",66,570
을지로동,"78,262",32,260,"90,953",32,260,"87,427",32,260,"90,469",32,260,"89,318",24,260
신당동,"108,195",143,60,"113,612",143,60,"107,628",143,60,"113,713",143,60,"107,201",132,60
다산동,"76,443",266,123,"80,642",266,123,"77,368",266,123,"80,459",266,123,"80,560",290,123
약수동,"45,715",336,347,"45,314",336,347,"45,249",336,347,"43,074",336,347,"41,731",362,347
청구동,"94,743",407,90,"92,914",407,90,"91,391",407,90,"95,080",407,90,"96,989",444,90
신당5동,"152,820",339,28,"150,604",339,28,"134,833",339,28,"126,367",339,28,"127,930",320,28
동화동,"74,927",323,46,"79,916",323,46,"86,925",323,46,"99,660",323,46,"103,617",353,46
황학동,"188,428",384,52,"191,715",384,52,"180,107",384,52,"177,504",384,52,"179,484",365,52
중림동,"44,207",252,89,"46,198",252,89,"42,107",252,89,"40,614",252,89,"40,838",171,89
후암동,"50,590",204,27,"50,255",204,27,"49,559",204,27,"50,973",204,27,"50,780",210,27
용산2가동,"24,030",48,9,"24,055",48,9,"22,358",48,9,"20,611",48,9,"20,620",53,9
남영동,"29,409",104,288,"31,573",104,288,"30,423",104,288,"31,094",104,288,"31,384",90,288
청파동,"88,388",229,56,"92,635",229,56,"86,893",229,56,"89,760",229,56,"86,969",235,56
원효로1동,"89,759",273,79,"90,805",273,79,"88,093",273,79,"90,105",273,79,"88,755",219,79
원효로2동,"43,560",155,50,"42,800",155,50,"45,586",155,50,"46,196",155,50,"45,939",159,50
효창동,"87,203",217,35,"85,623",217,35,"79,805",217,35,"80,112",217,35,"81,628",193,35
용문동,"104,653",425,94,"102,433",425,94,"95,880",425,94,"91,710",425,94,"90,388",436,94
한강로동,"14,536",59,140,"15,352",59,140,"16,429",59,140,"16,656",59,140,"16,990",37,140
이촌1동,"23,955",131,51,"23,855",131,51,"23,591",131,51,"23,068",131,51,"22,587",131,51
이촌2동,"15,606",73,24,"17,010",73,24,"15,739",73,24,"12,629",73,24,"12,688",80,24
이태원1동,"42,438",120,225,"50,090",120,225,"49,618",120,225,"45,811",120,225,"42,912",123,225
이태원2동,"32,383",105,14,"33,266",105,14,"31,991",105,14,"32,935",105,14,"33,971",108,14
한남동,"18,842",66,131,"19,182",66,131,"18,569",66,131,"18,448",66,131,"18,509",61,131
서빙고동,"9,070",60,66,"8,978",60,66,"8,583",60,66,"8,376",60,66,"8,337",60,66
보광동,"48,884",160,12,"47,974",160,12,"46,198",160,12,"45,105",160,12,"46,093",168,12
왕십리2동,"120,432",443,33,"130,080",443,33,"121,164",443,33,"122,713",443,33,"121,973",439,33
왕십리도선동,"85,872",377,83,"82,689",377,83,"80,270",377,83,"79,968",377,83,"80,504",273,83
마장동,"51,686",210,71,"51,017",210,71,"49,848",210,71,"50,581",210,71,"49,991",206,71
사근동,"34,348",101,22,"39,392",101,22,"35,743",101,22,"37,879",101,22,"35,527",93,22
행당1동,"70,185",255,43,"73,746",255,43,"78,312",255,43,"83,712",255,43,"81,205",213,43
행당2동,"107,253",526,6,"102,863",526,6,"99,385",526,6,"100,347",526,6,"98,323",582,6
응봉동,"56,147",288,31,"55,296",288,31,"55,742",288,31,"56,188",288,31,"57,386",295,31
금호1가동,"91,580",356,52,"83,861",356,52,"83,677",356,52,"82,380",356,52,"79,942",310,52
금호2·3가동,"105,576",367,11,"101,991",367,11,"100,003",367,11,"100,001",367,11,"102,555",383,11
금호4가동,"32,278",157,14,"30,888",157,14,"31,771",157,14,"31,895",157,14,"31,705",153,14
옥수동,"24,895",215,39,"24,372",215,39,"23,124",215,39,"23,762",215,39,"23,828",187,39
성수1가1동,"13,607",74,16,"14,926",74,16,"14,202",74,16,"14,359",74,16,"14,053",71,16
성수1가2동,"56,354",136,64,"58,840",136,64,"57,480",136,64,"54,973",136,64,"56,689",150,64
성수2가1동,"48,007",147,89,"47,882",147,89,"46,099",147,89,"46,248",147,89,"46,714",164,89
성수2가3동,"50,923",106,227,"52,101",106,227,"51,412",106,227,"52,592",106,227,"53,359",103,227
송정동,"58,599",183,21,"57,895",183,21,"56,603",183,21,"56,576",183,21,"51,740",191,21
용답동,"14,171",50,20,"13,917",50,20,"13,601",50,20,"13,779",50,20,"14,351",63,20
화양동,"82,906",201,24,"88,529",201,24,"83,969",201,24,"85,362",201,24,"85,076",183,24
군자동,"73,176",272,32,"76,114",272,32,"73,192",272,32,"76,227",272,32,"76,761",268,32
중곡1동,"67,835",268,91,"65,479",268,91,"64,809",268,91,"64,402",268,91,"66,668",255,91
중곡2동,"92,565",400,52,"89,650",400,52,"86,821",400,52,"86,836",400,52,"87,010",404,52
중곡3동,"81,052",277,25,"79,207",277,25,"79,068",277,25,"79,417",277,25,"81,107",291,25
중곡4동,"30,603",127,22,"29,365",127,22,"28,188",127,22,"28,207",127,22,"28,785",135,22
능동,"21,785",106,21,"23,497",106,21,"22,152",106,21,"22,358",106,21,"21,670",102,21
광장동,"21,208",123,58,"21,113",123,58,"20,896",123,58,"21,319",123,58,"21,090",117,58
자양1동,"136,444",366,199,"136,664",366,199,"128,161",366,199,"129,631",366,199,"128,641",353,199
자양2동,"33,920",157,31,"32,535",157,31,"32,254",157,31,"32,288",157,31,"32,510",158,31
자양3동,"64,104",250,29,"64,452",250,29,"62,230",250,29,"57,839",250,29,"58,771",250,29
자양4동,"69,885",154,10,"72,750",154,10,"72,133",154,10,"71,622",154,10,"71,931",166,10
구의1동,"157,102",398,66,"155,758",398,66,"148,757",398,66,"145,082",398,66,"143,816",400,66
구의2동,"41,259",198,31,"41,486",198,31,"42,054",198,31,"41,216",198,31,"42,009",180,31
구의3동,"46,505",202,89,"45,658",202,89,"43,890",202,89,"45,910",202,89,"47,361",196,89
용신동,"89,437",196,150,"93,617",196,150,"86,559",196,150,"87,984",196,150,"90,110",158,150
제기동,"102,831",210,46,"107,171",210,46,"106,763",210,46,"107,363",210,46,"106,107",202,46
전농1동,"97,839",264,13,"99,620",264,13,"89,690",264,13,"92,597",264,13,"93,632",251,13
전농2동,"26,421",195,41,"25,960",195,41,"25,539",195,41,"25,917",195,41,"25,589",205,41
답십리1동,"85,197",347,76,"82,387",347,76,"83,310",347,76,"82,992",347,76,"80,565",284,76
답십리2동,"90,096",359,52,"85,009",359,52,"85,466",359,52,"84,508",359,52,"83,717",357,52
장안1동,"65,018",284,79,"65,630",284,79,"65,255",284,79,"66,419",284,79,"67,607",269,79
장안2동,"66,857",295,56,"65,149",295,56,"64,166",295,56,"64,625",295,56,"65,153",267,56
청량리동,"51,027",166,41,"51,301",166,41,"50,664",166,41,"52,262",166,41,"53,991",164,41
회기동,"60,051",126,9,"68,981",126,9,"66,145",126,9,"70,706",126,9,"65,779",121,9
휘경1동,"105,289",262,27,"107,255",262,27,"110,327",262,27,"115,884",262,27,"113,617",248,27
휘경2동,"42,064",201,36,"43,942",201,36,"41,129",201,36,"41,506",201,36,"40,341",198,36
이문1동,"89,825",188,41,"97,718",188,41,"89,681",188,41,"98,470",188,41,"92,432",185,41
이문2동,"60,712",293,32,"59,613",293,32,"56,919",293,32,"56,383",293,32,"56,576",304,32
면목2동,"83,526",333,20,"81,513",333,20,"81,035",333,20,"81,677",333,20,"82,121",351,20
면목4동,"66,566",228,20,"64,653",228,20,"64,040",228,20,"64,288",228,20,"64,800",251,20
면목5동,"46,136",256,18,"43,124",256,18,"38,229",256,18,"38,953",256,18,"39,788",163,18
면목본동,"120,385",408,21,"117,186",408,21,"116,345",408,21,"115,650",408,21,"115,949",407,21
면목7동,"66,084",186,12,"64,177",186,12,"61,437",186,12,"58,770",186,12,"58,325",185,12
면목3·8동,"38,779",160,22,"39,604",160,22,"39,030",160,22,"40,284",160,22,"40,560",156,22
상봉1동,"57,788",270,27,"55,976",270,27,"54,202",270,27,"55,376",270,27,"56,912",282,27
상봉2동,"111,131",302,81,"112,354",302,81,"109,818",302,81,"110,243",302,81,"111,472",262,81
중화1동,"94,073",318,31,"92,061",318,31,"91,079",318,31,"89,227",318,31,"85,916",317,31
중화2동,"83,587",266,16,"81,875",266,16,"80,656",266,16,"83,525",266,16,"86,678",272,16
묵1동,"64,200",299,22,"63,614",299,22,"61,774",299,22,"62,393",299,22,"63,263",291,22
묵2동,"90,099",285,30,"88,735",285,30,"87,452",285,30,"85,300",285,30,"86,784",275,30
망우본동,"34,822",99,11,"35,053",99,11,"33,365",99,11,"32,734",99,11,"33,042",101,11
망우3동,"48,486",177,11,"47,232",177,11,"45,969",177,11,"45,239",177,11,"45,593",180,11
신내1동,"24,817",168,18,"24,281",168,18,"23,816",168,18,"23,289",168,18,"23,484",173,18
신내2동,"22,345",226,40,"21,540",226,40,"20,228",226,40,"20,191",226,40,"20,531",255,40
성북동,"14,022",55,77,"14,310",55,77,"13,645",55,77,"13,950",55,77,"13,690",54,77
삼선동,"85,307",200,55,"89,020",200,55,"85,666",200,55,"87,268",200,55,"86,606",202,55
동선동,"117,818",214,34,"123,256",214,34,"111,869",214,34,"115,269",214,34,"111,310",217,34
돈암1동,"62,333",331,50,"62,830",331,50,"61,750",331,50,"62,599",331,50,"62,842",331,50
돈암2동,"72,808",593,283,"69,637",593,283,"68,261",593,283,"67,824",593,283,"69,044",578,283
안암동,"48,146",115,36,"56,501",115,36,"51,709",115,36,"57,658",115,36,"53,716",42,36
보문동,"102,197",286,126,"102,475",286,126,"102,369",286,126,"104,902",286,126,"105,924",226,126
정릉1동,"108,218",392,24,"103,831",392,24,"102,907",392,24,"104,103",392,24,"105,261",399,24
정릉2동,"51,171",202,15,"51,014",202,15,"50,830",202,15,"50,002",202,15,"50,447",201,15
정릉3동,"9,394",49,8,"10,043",49,8,"9,473",49,8,"9,864",49,8,"9,563",46,8
정릉4동,"9,121",69,6,"8,981",69,6,"8,857",69,6,"9,006",69,6,"8,895",74,6
길음1동,"86,794",483,84,"89,286",483,84,"85,298",483,84,"88,807",483,84,"92,806",504,84
길음2동,"109,012",402,17,"117,616",402,17,"119,258",402,17,"121,224",402,17,"117,836",265,17
종암동,"73,298",266,148,"72,055",266,148,"72,390",266,148,"74,098",266,148,"73,711",261,148
월곡1동,"72,158",276,27,"79,631",276,27,"74,208",276,27,"74,443",276,27,"76,007",284,27
월곡2동,"46,887",150,36,"46,128",150,36,"45,790",150,36,"47,298",150,36,"45,776",154,36
장위1동,"97,917",283,19,"96,788",283,19,"95,286",283,19,"94,864",283,19,"100,577",280,19
장위2동,"73,736",203,26,"74,635",203,26,"71,918",203,26,"70,618",203,26,"72,094",216,26
장위3동,"36,049",260,18,"38,985",260,18,"39,238",260,18,"42,050",260,18,"42,647",157,18
석관동,"56,731",201,21,"58,900",201,21,"58,306",201,21,"58,434",201,21,"58,382",187,21
삼양동,"126,948",256,11,"122,507",256,11,"118,705",256,11,"118,087",256,11,"121,599",276,11
미아동,"89,222",266,22,"94,134",266,22,"94,280",266,22,"95,694",266,22,"95,525",274,22
송중동,"116,433",280,21,"113,862",280,21,"113,391",280,21,"115,036",280,21,"115,973",254,21
송천동,"137,225",296,20,"140,027",296,20,"135,606",296,20,"137,217",296,20,"138,323",311,20
삼각산동,"55,762",530,21,"51,239",530,21,"52,232",530,21,"52,280",530,21,"47,775",577,21
번1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
번2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
번3동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수유1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수유2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수유3동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
우이동,"3,905",20,3,"3,979",20,3,"4,045",20,3,"4,006",20,3,"4,082",19,3
인수동,"32,642",109,15,"31,292",109,15,"30,836",109,15,"30,766",109,15,"30,893",109,15
창1동,"42,742",228,16,"42,375",228,16,"39,350",228,16,"36,429",228,16,"35,063",247,16
창2동,"160,188",453,38,"156,511",453,38,"150,963",453,38,"151,715",453,38,"156,493",472,38
창3동,"65,403",225,12,"65,449",225,12,"65,115",225,12,"64,472",225,12,"65,241",241,12
창4동,"31,993",235,24,"31,445",235,24,"30,776",235,24,"31,379",235,24,"31,713",260,24
창5동,"67,311",372,105,"65,301",372,105,"64,463",372,105,"64,438",372,105,"65,253",393,105
도봉1동,"4,418",25,3,"4,458",25,3,"4,369",25,3,"4,358",25,3,"4,515",26,3
도봉2동,"29,893",231,18,"30,421",231,18,"29,072",231,18,"27,916",231,18,"28,345",234,18
쌍문1동,"44,118",185,15,"44,973",185,15,"45,415",185,15,"45,074",185,15,"43,070",185,15
쌍문2동,"83,676",357,27,"83,287",357,27,"82,380",357,27,"83,308",357,27,"81,255",374,27
쌍문3동,"102,909",332,40,"108,073",332,40,"104,891",332,40,"110,640",332,40,"111,387",345,40
쌍문4동,"56,550",354,25,"53,585",354,25,"52,347",354,25,"48,429",354,25,"47,745",358,25
방학1동,"69,302",278,63,"69,183",278,63,"65,693",278,63,"63,881",278,63,"64,438",296,63
방학2동,"28,127",184,9,"27,223",184,9,"28,952",184,9,"29,109",184,9,"29,556",197,9
방학3동,"19,907",150,16,"18,968",150,16,"18,569",150,16,"19,215",150,16,"19,630",160,16
월계1동,"41,213",184,23,"40,250",184,23,"36,703",184,23,"38,995",184,23,"37,807",182,23
월계2동,"20,305",138,6,"20,541",138,6,"19,263",138,6,"19,666",138,6,"19,473",136,6
월계3동,"25,428",270,13,"25,333",270,13,"23,645",270,13,"23,660",270,13,"23,598",299,13
공릉1동,"94,633",310,52,"94,310",310,52,"90,718",310,52,"90,429",310,52,"92,335",307,52
공릉2동,"10,965",55,10,"11,269",55,10,"10,819",55,10,"11,046",55,10,"10,849",57,10
하계1동,"25,979",187,32,"26,933",187,32,"25,440",187,32,"25,402",187,32,"25,329",197,32
하계2동,"57,035",441,28,"54,628",441,28,"55,446",441,28,"57,662",441,28,"58,106",490,28
중계본동,"20,883",119,9,"20,137",119,9,"19,585",119,9,"19,315",119,9,"19,807",126,9
중계1동,"68,192",440,35,"66,276",440,35,"64,311",440,35,"61,925",440,35,"61,532",466,35
중계4동,"20,123",134,13,"20,057",134,13,"19,367",134,13,"19,674",134,13,"19,795",140,13
중계2·3동,"50,585",389,24,"50,194",389,24,"49,993",389,24,"49,680",389,24,"48,897",434,24
상계1동,"15,582",78,11,"15,192",78,11,"15,110",78,11,"14,989",78,11,"14,947",83,11
상계2동,"178,584",327,39,"173,364",327,39,"171,369",327,39,"170,586",327,39,"171,862",343,39
상계3·4동,"15,074",47,4,"14,553",47,4,"14,218",47,4,"13,915",47,4,"13,952",48,4
상계5동,"145,916",521,39,"141,320",521,39,"137,707",521,39,"135,123",521,39,"137,187",577,39
상계6·7동,"46,299",234,44,"47,159",234,44,"45,294",234,44,"44,237",234,44,"43,762",255,44
상계8동,"14,243",343,18,"15,098",343,18,"14,584",343,18,"14,902",343,18,"15,389",400,18
상계9동,"23,818",254,32,"23,498",254,32,"23,097",254,32,"23,032",254,32,"22,964",285,32
상계10동,"24,934",217,13,"24,690",217,13,"24,226",217,13,"24,567",217,13,"24,995",222,13
녹번동,"38,282",194,27,"37,072",194,27,"35,916",194,27,"35,833",194,27,"36,420",164,27
불광1동,"20,368",135,12,"19,363",135,12,"18,188",135,12,"18,596",135,12,"18,371",143,12
불광2동,"34,333",162,18,"32,371",162,18,"31,834",162,18,"32,523",162,18,"32,309",162,18
갈현1동,"87,568",254,29,"88,483",254,29,"85,233",254,29,"80,339",254,29,"73,449",270,29
갈현2동,"64,143",283,38,"63,011",283,38,"61,684",283,38,"61,365",283,38,"61,243",284,38
구산동,"42,466",249,33,"41,809",249,33,"40,091",249,33,"40,119",249,33,"40,491",242,33
대조동,"118,707",314,30,"116,970",314,30,"118,363",314,30,"121,211",314,30,"133,033",347,30
응암1동,"55,913",275,26,"54,280",275,26,"53,257",275,26,"51,523",275,26,"51,546",223,26
응암2동,"67,682",498,19,"63,021",498,19,"62,384",498,19,"65,771",498,19,"67,896",308,19
응암3동,"82,059",270,24,"85,957",270,24,"85,169",270,24,"90,364",270,24,"90,245",281,24
역촌동,"114,868",409,41,"110,629",409,41,"108,393",409,41,"106,878",409,41,"108,222",428,41
신사1동,"82,765",334,30,"79,073",334,30,"77,950",334,30,"77,211",334,30,"77,425",336,30
신사2동,"35,363",198,18,"33,057",198,18,"29,883",198,18,"29,461",198,18,"29,492",201,18
증산동,"35,092",165,31,"36,235",165,31,"36,851",165,31,"37,557",165,31,"37,678",163,31
수색동,"13,826",95,15,"16,049",95,15,"14,555",95,15,"14,178",95,15,"14,033",67,15
진관동,"5,953",44,3,"5,858",44,3,"5,839",44,3,"5,723",44,3,"5,673",39,3
천연동,"47,958",205,21,"48,854",205,21,"47,331",205,21,"48,274",205,21,"45,718",229,21
북아현동,"350,941",361,40,"366,283",361,40,"369,465",361,40,"380,930",361,40,"389,638",213,40
충현동,"86,743",182,124,"90,283",182,124,"88,471",182,124,"89,251",182,124,"90,109",155,124
신촌동,"38,708",77,20,"43,674",77,20,"42,916",77,20,"44,480",77,20,"42,883",70,20
연희동,"29,102",122,50,"29,117",122,50,"27,958",122,50,"28,396",122,50,"28,170",128,50
홍제1동,"39,248",163,17,"39,189",163,17,"39,913",163,17,"41,759",163,17,"41,843",151,17
홍제3동,"38,536",145,11,"38,950",145,11,"36,722",145,11,"37,774",145,11,"37,284",149,11
홍제2동,"39,576",202,10,"38,688",202,10,"37,808",202,10,"36,817",202,10,"35,425",216,10
홍은1동,"25,327",149,49,"24,709",149,49,"24,981",149,49,"24,417",149,49,"26,232",136,49
홍은2동,"22,340",132,28,"22,485",132,28,"20,791",132,28,"21,929",132,28,"21,230",136,28
남가좌1동,"23,252",328,82,"22,513",328,82,"22,767",328,82,"24,724",328,82,"25,806",330,82
남가좌2동,"74,812",382,23,"77,555",382,23,"73,044",382,23,"78,025",382,23,"73,585",291,23
북가좌1동,"51,609",328,31,"53,036",328,31,"56,801",328,31,"54,533",328,31,"54,174",346,31
북가좌2동,"169,771",404,38,"158,554",404,38,"152,562",404,38,"146,803",404,38,"148,438",427,38
아현동,"69,772",296,135,"70,996",296,135,"68,799",296,135,"69,218",296,135,"77,015",247,135
공덕동,"157,719",426,162,"158,392",426,162,"161,327",426,162,"166,813",426,162,"170,585",417,162
도화동,"45,038",252,152,"45,037",252,152,"42,539",252,152,"40,597",252,152,"40,495",257,152
용강동,"80,843",240,150,"81,300",240,150,"74,672",240,150,"65,348",240,150,"65,681",225,150
대흥동,"85,766",168,66,"88,521",168,66,"88,362",168,66,"94,147",168,66,"92,420",135,66
염리동,"61,240",221,72,"63,660",221,72,"69,030",221,72,"91,537",221,72,"95,126",186,72
신수동,"60,835",253,62,"60,943",253,62,"58,456",253,62,"56,927",253,62,"56,032",234,62
